,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA
2022-06-27,249.36666870117188,252.07000732421875,242.56666564941406,244.9199981689453,89178300,0.0,0.0,239.76
2022-06-28,244.48333740234375,249.97000122070312,232.3433380126953,232.663330078125,90391200,0.0,0.0,238.89
2022-06-29,230.5,231.17333984375,222.27333068847656,228.49000549316406,82897200,0.0,0.0,237.37
2022-06-30,224.50999450683594,229.4566650390625,218.8633270263672,224.47332763671875,94600500,0.0,0.0,235.25
2022-07-01,227.0,230.22999572753906,222.1199951171875,227.26333618164062,74460300,0.0,0.0,231.56
2022-07-05,223.0,233.14666748046875,216.1666717529297,233.06666564941406,84581100,0.0,0.0,229.19
2022-07-06,230.77999877929688,234.56333923339844,227.18666076660156,231.73333740234375,71853600,0.0,0.0,229.01
2022-07-07,233.9199981689453,245.3633270263672,232.2100067138672,244.5433349609375,81930600,0.0,0.0,232.22
2022-07-08,242.3333282470703,254.97999572753906,241.16000366210938,250.76333618164062,101854200,0.0,0.0,237.47
2022-07-11,252.10333251953125,253.06333923339844,233.6266632080078,234.3433380126953,99241200,0.0,0.0,238.89
2022-07-12,236.84666442871094,239.77333068847656,228.3699951171875,233.07000732421875,87930900,0.0,0.0,238.89
2022-07-13,225.5,242.05999755859375,225.03334045410156,237.0399932861328,97954500,0.0,0.0,239.95
2022-07-14,234.89666748046875,238.65333557128906,229.3333282470703,238.31333923339844,78557400,0.0,0.0,238.71
2022-07-15,240.0,243.6233367919922,236.88999938964844,240.06666564941406,69683100,0.0,0.0,236.57
2022-07-18,244.93666076660156,250.51666259765625,239.60333251953125,240.54666137695312,82537500,0.0,0.0,237.81
2022-07-19,245.0,247.13999938964844,236.97666931152344,245.52999877929688,80890200,0.0,0.0,240.3
2022-07-20,246.78334045410156,250.663330078125,243.48333740234375,247.5,88864200,0.0,0.0,242.39
2022-07-21,255.10667419433594,273.26666259765625,254.86666870117188,271.7066650390625,142032300,0.0,0.0,249.07
2022-07-22,276.2200012207031,280.78668212890625,270.71331787109375,272.24334716796875,103472700,0.0,0.0,255.51
2022-07-25,272.2166748046875,274.14666748046875,267.3999938964844,268.4333190917969,64073400,0.0,0.0,261.08
2022-07-26,266.5133361816406,267.30999755859375,256.2633361816406,258.8599853515625,66820800,0.0,0.0,263.75
2022-07-27,263.80999755859375,275.9266662597656,261.7900085449219,274.82000732421875,88110000,0.0,0.0,269.21
2022-07-28,280.0666809082031,283.29998779296875,272.79998779296875,280.8999938964844,84723000,0.0,0.0,271.05
2022-07-29,280.70001220703125,298.32000732421875,279.1000061035156,297.1499938964844,95313000,0.0,0.0,276.03
2022-08-01,301.27667236328125,311.8766784667969,295.0,297.27667236328125,117042900,0.0,0.0,281.8
2022-08-02,294.0033264160156,307.8333435058594,292.6666564941406,300.586669921875,95577600,0.0,0.0,290.15
2022-08-03,305.0,309.54998779296875,301.1499938964844,307.39666748046875,80091000,0.0,0.0,296.66
2022-08-04,311.0,313.6066589355469,305.0,308.6333312988281,72256200,0.0,0.0,302.21
2022-08-05,302.6700134277344,304.6066589355469,285.5433349609375,288.1700134277344,113172900,0.0,0.0,300.41
2022-08-08,295.0,305.20001220703125,289.086669921875,290.42333984375,98994000,0.0,0.0,299.04
2022-08-09,290.2933349609375,292.39666748046875,279.35333251953125,283.3333435058594,86244600,0.0,0.0,295.59
2022-08-10,297.0666809082031,297.510009765625,283.3699951171875,294.3566589355469,94918800,0.0,0.0,292.98
2022-08-11,296.5133361816406,298.2366638183594,285.8333435058594,286.6300048828125,70155000,0.0,0.0,288.58
2022-08-12,289.4166564941406,300.1600036621094,285.0333251953125,300.0299987792969,79657200,0.0,0.0,290.95
2022-08-15,301.78668212890625,313.1333312988281,301.2300109863281,309.32000732421875,89359200,0.0,0.0,294.73
2022-08-16,311.6666564941406,314.6666564941406,302.8833312988281,306.5633239746094,88136400,0.0,0.0,299.38
2022-08-17,303.39666748046875,309.65667724609375,300.0333251953125,303.9966735839844,68766000,0.0,0.0,301.31
2022-08-18,306.0,306.5,301.85333251953125,302.8699951171875,47500500,0.0,0.0,304.56
2022-08-19,299.0,300.3599853515625,292.5,296.6666564941406,61395300,0.0,0.0,303.88
2022-08-22,291.913330078125,292.3999938964844,286.2966613769531,289.913330078125,55843200,0.0,0.0,300.0
2022-08-23,291.4533386230469,298.82666015625,287.92333984375,296.4533386230469,63984900,0.0,0.0,297.98
2022-08-24,297.5633239746094,303.64666748046875,296.5,297.0966796875,57259800,0.0,0.0,296.6
2022-08-25,302.3599853515625,302.9599914550781,291.6000061035156,296.07000732421875,53230000,0.0,3.0,295.24
2022-08-26,297.42999267578125,302.0,287.4700012207031,288.0899963378906,57163900,0.0,0.0,293.52
2022-08-29,282.8299865722656,287.739990234375,280.70001220703125,284.82000732421875,41864700,0.0,0.0,292.51
2022-08-30,287.8699951171875,288.4800109863281,272.6499938964844,277.70001220703125,50541800,0.0,0.0,288.76
2022-08-31,280.6199951171875,281.25,271.80999755859375,275.6099853515625,52107300,0.0,0.0,284.46
2022-09-01,272.5799865722656,277.5799865722656,266.1499938964844,277.1600036621094,54287000,0.0,0.0,280.68
2022-09-02,281.07000732421875,282.3500061035156,269.0799865722656,270.2099914550781,50890100,0.0,0.0,277.1
2022-09-06,272.67999267578125,275.989990234375,265.739990234375,274.4200134277344,55860000,0.0,0.0,275.02
2022-09-07,273.1000061035156,283.8399963378906,272.2699890136719,283.70001220703125,50028900,0.0,0.0,276.22
2022-09-08,281.29998779296875,289.5,279.760009765625,289.260009765625,53713100,0.0,0.0,278.95
2022-09-09,291.6700134277344,299.8500061035156,291.25,299.67999267578125,54338100,0.0,0.0,283.45
2022-09-12,300.7200012207031,305.489990234375,300.3999938964844,304.4200134277344,48674600,0.0,0.0,290.3
2022-09-13,292.8999938964844,297.3999938964844,290.3999938964844,292.1300048828125,68229600,0.0,0.0,293.84
2022-09-14,292.239990234375,306.0,291.6400146484375,302.6099853515625,72628700,0.0,0.0,297.62
2022-09-15,301.8299865722656,309.1199951171875,300.7200012207031,303.75,64795500,0.0,0.0,300.52
2022-09-16,299.6099853515625,303.7099914550781,295.6000061035156,303.3500061035156,87087800,0.0,0.0,301.25
2022-09-19,300.0899963378906,309.8399963378906,297.79998779296875,309.07000732421875,60231200,0.0,0.0,302.18
2022-09-20,306.9100036621094,313.3299865722656,305.5799865722656,308.7300109863281,61642800,0.0,0.0,305.5
2022-09-21,308.2900085449219,313.79998779296875,300.6300048828125,300.79998779296875,62555700,0.0,0.0,305.14
2022-09-22,299.8599853515625,301.2900085449219,285.82000732421875,288.5899963378906,70545400,0.0,0.0,302.11
